289;branża;die;Branche;;0;
290;smażona kiełbasa;die;Bratwurst;Bratwürste;0;
291;panna młoda/narzeczona;die;Braut;;0;
292;pan młody/narzeczony;der;Bräutigam;;0;
293;list;der;Brief;Briefe;0;
294;skrzynka pocztowa;der;Briefkasten;Briefkästenen;0;
295;znaczek pocztowy;die;Briefmarke;Briefmarken;0;
296;koperta;der;Briefumschlag;Briefumschäge;0;
297;okulary;die;Brille;Brillen;0;
298;chleb;das;Brot;Brote;0;
299;bułka;das;Brötchen;Brötchen;0;
300;most;die;Brücke;Brücken;0;
301;brat;der;Bruder;Brüder;0;
302;studnia;der;Brunnen;Brunnen;0;
303;pierś;die;Brust;Brüste;0;
304;klatka piersiowa;der;Brustkorb;;0;
305;książka;das;Buch;Bücher;0;
306;biblioteka;die;Bücherei;Büchereien;0;
307;księgarnia;die;Buchhandlung;Buchhandlungen;0;
308;litera;der;Buchstabe;Buchstaben;0;
309;bufet;das;Büffet;;0;
310;scena;die;Bühne;Bühnen;0;
311;obywatel;der;Bürger;Bürger;0;
312;chodnik;der;Bürgersteig;Bürgersteige;0;
313;biuro;das;Büro;Büros;0;
314;praca biurowa;die;Büroarbeit;Büroarbeiten;0;
315;szczotka;die;Bürste;Bürsten;0;
316;autobus;der;Bus;Busse;0;
317;dworzec autobusowy;der;Busbahnhof;Busbahnhöfe;0;
318;masło;die;Butter;brak;0;
319;kawiarnia;das;Cafe;Cafes;0;
320;obóz;das;Campen;;0;
321;kemping;das;Camping;brak;0;
322;cd;die;CD;CDs;0;
323;cent;der;Cent;Cents;0;
324;szansa;die;Chance;Chancen;0;
325;chaos;das;Chaos;brak;0;
326;cecha charakteru;die;Charaktereigenschaft;;0;
327;szef;der;Chef;Chefs;0;
328;chemia;die;Chemie;brak;0;
329;chip;der;Chip;;0;
330;cola;die;Cola;Colas;0;
331;komiks;der;Comicstrip;Comicstrips;0;
332;komputer;der;Computer;Computer;0;
333;cukiernia;die;Confiserie;;0;
334;kanapa;die;Couch;Couchs;0;
335;kuzyn;der;Cousin;Cousins;0;
336;kuzynka;die;Cousine;Cousinen;0;
337;krem;die;Creme;Cremes;0;
338;dach;das;Dach;Dächer;0;
339;taras dachowy;die;Dachterrasse;;0;
340;pani;die;Dame;Damen;0;
341;zapora;der;Damm;Dämme;0;
342;zaprezentowanie;die;Darstellung;;0;
343;data;das;Datum;Daten;0;
344;okres;die;Dauer;brak;0;
345;trwała ondulacja;die;Dauerwelle;;0;
346;kołdra/sufit;die;Decke;Decken;0;
347;demonstracja;die;Demonstration;Demonstrationen;1;
348;brak zainteresowania;das;Desinteresse;;0;
349;deser;das;Dessert;Desserts;0;
350;niemiec;der;Deutsche;Deutschen;0;
351;niemka;die;Deutsche;Deutschen;0;
352;grudzień;der;Dezember;Dezember;0;
353;wykres;der;Diagramm;Diagramme;0;
354;kradzież;der;Diebstahl;;0;
